child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,testlang_lang,raw_lang,perco_lang,testlang_math,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,numante,literate_r2,levlwrit_r2,levlread_r2,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,entype_r4,timesch_r4,childloc_r4,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,rural_3,IMTI,E_is
21045,Female,Oromo,Amharic,7,1,8,Amharic,143,5,Amharic,Amharic,15,62.5,Amharic,10,35.71428680419922,Amharic,1,-2.38,-1.33,-2.36,1,0,1,9,32,2,1,0,0,NA,0,2,2,1,8,0.5805555582046509,0.2916666567325592,0.75,0.699999988079071,1,1,1,0,0,0,1,15,1,11,1,13,Addis Ababa,10,13,10,13,9,1,1,NA,1,NA,0,0,0
21046,Male,Oromo,Amharic,7,1,6,Amharic,177,5,Amharic,Amharic,18,75,Amharic,19,67.85713958740234,Amharic,1,-0.68,0.72,-1.9000000000000001,0,0,0,2,28,2,1,0,0,NA,1,3,4,1,9,0.3956790268421173,0.28703704476356506,0.5,0.4000000059604645,1,0,1,0,1,0,1,40,1,8,1,13,Addis Ababa,8,13,8,13,2,1,1,NA,1,NA,0,0,0
21047,Female,Amhara,Amharic,7,1,6,Amharic,192,12,English,Amharic,19,79.16666412353516,Amharic,21,75,Amharic,1,-1.58,-1.04,-1.42,0,0,0,0,43,2,1,1,1,NA,0,3,3,1,8,0.6777777671813965,0.5833333134651184,0.75,0.699999988079071,1,1,1,0,0,1,1,20,1,0,NA,NA,Addis Ababa,10,14,10,14,0,0,0,0,0,0,0,6,0.75
21048,Female,Oromo,Afaan Oromo,7,1,7,Amharic,174,14,Amharic,Amharic,22,91.66666412353516,Amharic,24,85.71428680419922,Amharic,1,-0.5700000000000001,0.05,-0.9400000000000001,0,0,0,0,40,2,3,1,0,NA,NA,NA,4,1,5,0.4555555582046509,0.3166666626930237,0.75,0.30000001192092896,1,1,1,0,0,0,4,25,1,0,1,13,Addis Ababa,11,13,11,13,0,0,1,NA,1,NA,0,0,0
21049,Female,Amhara,Amharic,7,1,6,Amharic,139,5,NA,NA,NA,NA,NA,NA,NA,Amharic,1,-0.45,-0.12,-0.6,0,0,0,7,34,2,1,0,0,NA,1,3,4,1,5,0.4555555582046509,0.3166666626930237,0.75,0.30000001192092896,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,NA,0.75
21050,Female,Gurage,Amharic,2,1,9,Amharic,141,1,Amharic,Amharic,10,41.66666793823242,Amharic,13,46.42856979370117,Amharic,1,-1.17,0.3,-2.15,0,0,1,28,36,2,1,1,1,NA,1,3,4,1,9,0.4790123403072357,0.28703704476356506,0.75,0.4000000059604645,1,1,1,0,0,1,NA,NA,1,NA,NA,NA,Addis Ababa,8,8,8,8,0,NA,NA,NA,NA,NA,0,0,0
31001,Male,Amhara,Amharic,7,1,7,Amharic,181,6,Amharic,Amharic,13,54.16666793823242,Amharic,15,53.57143020629883,Amharic,1,-2,-2.45,-0.42,0,1,0,3,55,2,3,1,0,NA,1,3,4,1,3,0.7037037014961243,0.6111111044883728,1,0.5,1,1,1,1,0,0,4,5,1,4,1,9,Addis Ababa,8,8,8,8,3,1,NA,1,NA,1,0,6,0.75
31002,Male,Gurage,Amharic,7,1,8,Amharic,170,9,Amharic,Amharic,17,70.83333587646484,Amharic,15,53.57143020629883,Amharic,1,0.01,-2.69,2.19,0,1,0,4,30,2,1,0,0,NA,0,2,4,1,6,0.7611110806465149,0.5833333134651184,1,0.699999988079071,1,1,1,1,0,0,4,30,1,0,1,12,Addis Ababa,11,12,11,12,4,0,1,NA,0,0,0,0,0
31003,Female,Tigrian,Amharic,7,1,6,Amharic,190,8,Amharic,Amharic,17,70.83333587646484,Amharic,17,60.71428680419922,Amharic,1,-1.06,-1.86,0.1,0,0,0,5,57,2,4,0,0,NA,1,3,4,1,3,0.6074073910713196,0.4722222089767456,0.75,0.6000000238418579,1,1,1,0,0,0,4,NA,1,14,1,13,Addis Ababa,10,13,10,13,5,1,1,NA,1,NA,0,0,0
31004,Male,Gurage,Amharic,2,1,7,Amharic,185,13,Amharic,Amharic,19,79.16666412353516,Amharic,23,82.14286041259766,Amharic,1,-2.39,-2.31,-1.1400000000000001,1,1,0,4,35,2,1,0,0,NA,1,3,4,1,6,0.6685185432434082,0.5555555820465088,0.75,0.699999988079071,1,1,1,0,0,0,4,30,1,NA,NA,NA,Addis Ababa,11,11,11,11,4,NA,NA,NA,NA,NA,0,0,0
31005,Female,Amhara,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.54,-1.9000000000000001,-0.51,0,0,0,NA,22,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75
31006,Male,Amhara,Amharic,7,1,6,Amharic,189,25,Amharic,Amharic,20,83.33333587646484,Amharic,24,85.71428680419922,Amharic,1,0.18,-1.24,1.33,0,0,0,8,44,2,1,0,1,NA,1,3,4,1,7,0.6071428656578064,0.5714285969734192,0.75,0.5,1,1,1,0,0,0,1,50,1,0,1,10,Addis Ababa,12,14,12,14,8,0,NA,1,NA,1,0,6,0.75
31007,Male,Amhara,Amharic,7,1,6,Amharic,177,7,Amharic,Amharic,11,45.83333206176758,Amharic,17,60.71428680419922,Amharic,1,-1.8,-0.9400000000000001,-1.87,0,0,0,0,40,2,1,1,0,NA,0,3,3,1,9,0.595678985118866,0.5370370149612427,0.75,0.5,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,Addis Ababa,7,7,7,7,0,NA,NA,NA,NA,NA,0,6,0.75
31008,Female,Amhara,Amharic,7,1,5,Amharic,185,4,NA,NA,NA,NA,NA,NA,NA,Amharic,1,-1.27,-1.26,-0.74,0,0,0,5,38,2,1,0,0,NA,1,3,4,1,3,0.6018518805503845,0.5555555820465088,0.75,0.5,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,0.75
